unix,date,symbol,open,high,low,close,VolumeAsset,VolumeUSDT,tradecount,change,family
1618185600000.0,2021-04-12 00:00:00,ADA,1.26376,1.348,1.2633,1.31431,559487897.9,730491709.395321,952211.0,-0.0399996834842059,Ouroboros
1618185600000.0,2021-04-12 00:00:00,BNB,525.9275,638.5673,515.1,596.7104,9279328.84,5344661902.251941,4170759.0,-0.1345868014127423,DBFT
1618185600000.0,2021-04-12 00:00:00,BTC,59998.8,61300.0,59350.59,59860.0,56375.037117,3393042867.8714666,1806298.0,0.0023133796009254,SHA256
1618185600000.0,2021-04-12 00:00:00,BTT,0.0084461,0.0085999,0.0079,0.0079687,40082482826.0,330224215.1089014,604688.0,0.0565231290181266,TRON Tokens
1618185600000.0,2021-04-12 00:00:00,DASH,286.62,298.37,272.04,280.48,171130.74899,48817340.546857,96529.0,0.0214220919684599,X11
1618185600000.0,2021-04-12 00:00:00,EOS,6.7266,6.865,6.2911,6.4775,24654068.11,162708414.262025,292040.0,0.037032081586537,DPoS
1618185600000.0,2021-04-12 00:00:00,ETC,20.3606,20.562,18.9746,19.5225,2426158.98,47941996.946752,94617.0,0.0411628341011561,EtHash
1618185600000.0,2021-04-12 00:00:00,ETH,2151.42,2203.46,2102.0,2137.69,579093.35694,1244982956.770031,914567.0,0.0063818315345213,EtHash
1618185600000.0,2021-04-12 00:00:00,LINK,33.8811,34.1468,31.8601,33.108,4114028.73,135740510.080708,213799.0,0.0228180312917823,Ethereum Tokens
1618185600000.0,2021-04-12 00:00:00,LTC,252.35,259.94,240.01,244.42,1370860.1631,341852773.1501515,467982.0,0.0314246086784228,Scrypt
1618185600000.0,2021-04-12 00:00:00,NEO,63.887,64.992,60.714,64.65,1154656.337,72884810.71843,120355.0,-0.0119429617919139,DBFT
1618185600000.0,2021-04-12 00:00:00,QTUM,14.945,16.27,14.36,14.51,4023029.694,60842393.899937,118836.0,0.0291067246570759,PoS
1618185600000.0,2021-04-12 00:00:00,TRX,0.12212,0.13739,0.12154,0.12874,4811133581.9,630912431.293442,933211.0,-0.0542089747789058,DPoS
1618185600000.0,2021-04-12 00:00:00,XLM,0.58445,0.608,0.56614,0.59051,481035300.1,280921887.698769,584979.0,-0.0103687227307724,Stellar
1618185600000.0,2021-04-12 00:00:00,XMR,328.93,345.0,313.67,314.32,221086.95365,72872725.8700498,150531.0,0.0444167452041468,CryptoNight
1618185600000.0,2021-04-12 00:00:00,XRP,1.35118,1.475,1.31804,1.46843,1129501823.8,1551301546.996534,1444928.0,-0.0867760031972053,RPCA
1618185600000.0,2021-04-12 00:00:00,ZEC,222.27,237.0,209.08,221.39,565338.00714,126113367.5461315,205647.0,0.0039591487830117,Equihash
1618099200000.0,2021-04-11 00:00:00,ADA,1.21753,1.28989,1.199,1.26355,451246041.8,563044444.403651,714512.0,-0.0377978366036154,Ouroboros
1618099200000.0,2021-04-11 00:00:00,BNB,471.2974,529.211,458.0165,525.9275,3644396.11,1776698304.8045452,1714867.0,-0.115914282574018,DBFT
1618099200000.0,2021-04-11 00:00:00,BTC,59769.13,60699.0,59232.52,60002.43,41156.715391,2462032926.617981,1746102.0,-0.0039033527842885,SHA256
1618099200000.0,2021-04-11 00:00:00,BTT,0.0085661,0.0089736,0.0078557,0.0084468,62620072007.0,525381781.4610046,860721.0,0.0139269912795787,TRON Tokens
1618099200000.0,2021-04-11 00:00:00,DASH,283.31,294.85,278.5,286.79,182635.80778,52422201.2640657,100486.0,-0.0122833645123716,X11
1618099200000.0,2021-04-11 00:00:00,EOS,6.6137,7.0684,6.5526,6.7266,41297143.35,280690918.327656,563849.0,-0.0170706261245597,DPoS
1618099200000.0,2021-04-11 00:00:00,ETC,20.4599,21.5183,19.7983,20.3709,3531457.37,72705315.09355,138872.0,0.0043499723850068,EtHash
1618099200000.0,2021-04-11 00:00:00,ETH,2133.49,2165.02,2113.4,2151.36,392265.50773,839653140.9405916,830771.0,-0.0083759473913636,EtHash
1618099200000.0,2021-04-11 00:00:00,LINK,31.898,34.4397,31.7283,33.8811,4950189.88,164132318.892838,260724.0,-0.0621700420089035,Ethereum Tokens
