unix,date,symbol,open,high,low,close,Volume Asset,Volume USDT,tradecount,change,family
1618185600000.0,2021-04-12 00:00:00,ADA/USDT,1.26376,1.348,1.2633,1.31431,559487897.9,730491709.395321,952211.0,-0.03999968348420594,Ouroboros
1618185600000.0,2021-04-12 00:00:00,BNB/USDT,525.9275,638.5673,515.1,596.7104,9279328.84,5344661902.251941,4170759.0,-0.13458680141274232,DBFT
1618185600000.0,2021-04-12 00:00:00,BTC/USDT,59998.8,61300.0,59350.59,59860.0,56375.037117,3393042867.8714666,1806298.0,0.0023133796009254,SHA256
1618185600000.0,2021-04-12 00:00:00,BTT/USDT,0.0084461,0.0085999,0.0079,0.0079687,40082482826.0,330224215.1089014,604688.0,0.05652312901812664,TRON Tokens
1618185600000.0,2021-04-12 00:00:00,DASH/USDT,286.62,298.37,272.04,280.48,171130.74899,48817340.546857,96529.0,0.021422091968459935,X11
1618185600000.0,2021-04-12 00:00:00,EOS/USDT,6.7266,6.865,6.2911,6.4775,24654068.11,162708414.262025,292040.0,0.03703208158653708,DPoS
1618185600000.0,2021-04-12 00:00:00,ETC/USDT,20.3606,20.562,18.9746,19.5225,2426158.98,47941996.946752,94617.0,0.04116283410115619,EtHash
1618185600000.0,2021-04-12 00:00:00,ETH/USDT,2151.42,2203.46,2102.0,2137.69,579093.35694,1244982956.770031,914567.0,0.006381831534521394,EtHash
1618185600000.0,2021-04-12 00:00:00,LINK/USDT,33.8811,34.1468,31.8601,33.108,4114028.73,135740510.080708,213799.0,0.022818031291782337,Ethereum Tokens
1618185600000.0,2021-04-12 00:00:00,LTC/USDT,252.35,259.94,240.01,244.42,1370860.1631,341852773.1501515,467982.0,0.03142460867842285,Scrypt
1618185600000.0,2021-04-12 00:00:00,NEO/USDT,63.887,64.992,60.714,64.65,1154656.337,72884810.71843,120355.0,-0.01194296179191393,DBFT
1618185600000.0,2021-04-12 00:00:00,QTUM/USDT,14.945,16.27,14.36,14.51,4023029.694,60842393.899937,118836.0,0.029106724657075977,PoS
1618185600000.0,2021-04-12 00:00:00,TRX/USDT,0.12212,0.13739,0.12154,0.12874,4811133581.9,630912431.293442,933211.0,-0.054208974778905884,DPoS
1618185600000.0,2021-04-12 00:00:00,XLM/USDT,0.58445,0.608,0.56614,0.59051,481035300.1,280921887.698769,584979.0,-0.010368722730772443,Stellar
